,compare_sum,hyper_params
0,2.087132564932108,101010222
1,2.4474523261189463,202020222
2,2.212850421667099,202040222
3,2.357560616731644,202060222
4,2.2139405071735383,202080222
5,2.2700574547052383,204020222
6,2.1453748524189,204040222
7,2.1266009226441387,204060222
8,1.6497365206480026,204080222
9,2.240909489989281,206020222
10,2.581088402867317,206040222
11,2.3977596372365952,206060222
12,1.71346692442894,206080222
13,2.8856364727020267,208020222
14,2.2481573164463042,208040222
15,1.7549310103058815,208060222
16,1.870595268905163,208080222
17,2.028713503479958,402020222
18,1.884071123600006,402040222
19,2.3156823307275776,402060222
20,1.736559957265854,402080222
21,1.8902200534939766,404020222
22,2.4884634405374526,404040222
23,2.2425791680812837,404060222
24,2.4185681700706483,404080222
25,2.6853044837713242,406020222
26,1.803566212952137,406040222
27,2.7058577835559845,406060222
28,2.0493818327784536,406080222
29,1.7659650579094888,408020222
30,2.1774140134453774,408040222
31,2.23209103345871,408060222
32,2.7732032746076585,408080222
33,2.1575912936590615,555111
34,2.242886776663363,555222
35,1.6408758550882339,602020222
36,2.136831966042519,602040222
37,2.080248549580574,602060222
38,2.1275064304471014,602080222
39,1.82808578312397,604020222
40,2.177770644426346,604040222
41,2.1859073638916016,604060222
42,1.9583874970674515,604080222
43,1.9019334986805916,606020222
44,2.062606839835644,606040222
45,2.106580463051796,606060222
46,2.115191589295864,606080222
47,2.327510529756546,608020222
48,2.763331833481789,608040222
49,2.3544182479381566,608060222
50,2.018271279335022,608080222
51,1.8145896002650261,802020222
52,1.8505593702197076,802040222
53,2.0119843751192095,802060222
54,1.9340345114469528,802080222
55,2.0172064334154127,804020222
56,2.441344192624092,804040222
57,2.4832924515008927,804060222
58,2.2257628366351128,804080222
59,1.8633497521281241,806020222
60,2.2603165358304977,806040222
61,2.3091241002082823,806060222
62,2.3828659832477572,806080222
63,2.3590804189443593,808020222
64,2.5927850544452666,808040222
65,2.586021262407303,808060222
66,2.3109237045049666,808080222
