,std_error_down,std_error_up,std_error_stay,std_mean_dist,sum_stds,mean_error_down,mean_error_up,mean_error_stay,mean_mean_dist,num_params,hyper_params
0,9.443913459777832,11.776565551757812,0.8660253882408142,1.5007377862930298,23.587242126464844,20.75,29.25,0.5,129.3706817626953,643.0,101010222
1,9.283721923828125,3.1124749183654785,0.4330126941204071,4.05448579788208,16.883695602416992,19.75,16.75,1.25,132.1724853515625,2283.0,202020222
2,2.6809513568878174,4.242640495300293,0.7071067690849304,3.498182535171509,11.128880500793457,15.25,18.0,1.0,131.90736389160156,3983.0,202040222
3,8.84237003326416,7.921489715576172,0.829156219959259,1.1377805471420288,18.730796813964844,25.75,24.5,0.75,130.28688049316406,6483.0,202060222
4,24.973735809326172,2.1650636196136475,0.5,1.9022310972213745,29.541030883789062,32.75,15.75,0.5,130.31629943847656,9783.0,202080222
5,9.01041030883789,12.96871280670166,0.829156219959259,1.476142168045044,24.284421920776367,21.25,25.75,0.75,130.94439697265625,4323.0,204020222
6,4.092676162719727,20.290082931518555,0.8660253882408142,0.7586369514465332,26.007421493530273,15.5,35.25,0.5,131.0088348388672,6423.0,204040222
7,19.455076217651367,10.428326606750488,0.4330126941204071,2.372204542160034,32.688621520996094,31.0,23.5,0.25,132.03695678710938,9323.0,204060222
8,6.796138763427734,2.598076105117798,0.0,2.889857292175293,12.284071922302246,20.25,15.5,0.0,132.683837890625,13023.0,204080222
9,1.9202864170074463,41.54741287231445,0.5,2.856464385986328,46.82416534423828,16.25,39.25,0.5,132.64968872070312,7163.0,206020222
10,13.83835220336914,5.590169906616211,1.2247449159622192,3.6380910873413086,24.291358947753906,27.0,22.5,1.0,132.97776794433594,9663.0,206040222
11,14.08900260925293,4.84768009185791,0.8660253882408142,2.693375825881958,22.49608612060547,36.0,21.0,0.5,131.11318969726562,12963.0,206060222
12,3.699662208557129,3.3447721004486084,0.0,2.191404104232788,9.235838890075684,19.25,17.75,0.0,133.86190795898438,17063.0,206080222
13,13.083864212036133,42.25739669799805,0.4330126941204071,2.243828058242798,58.018104553222656,23.75,57.75,0.75,131.20542907714844,10803.0,208020222
14,3.3447721004486084,9.832980155944824,0.4330126941204071,2.7106122970581055,16.32137680053711,18.75,20.25,0.75,133.80166625976562,13703.0,208040222
15,4.769696235656738,2.1650636196136475,0.4330126941204071,0.6424547433853149,8.01022720336914,15.5,12.25,0.25,136.64501953125,17403.0,208060222
16,3.960744857788086,2.0463380813598633,0.4330126941204071,0.8189887404441833,7.259084224700928,17.25,16.75,0.25,131.37461853027344,21903.0,208080222
17,3.269174098968506,8.616844177246094,0.5,2.593907117843628,14.979926109313965,20.75,22.5,0.5,131.29049682617188,4023.0,402020222
18,28.39344024658203,2.9580399990081787,0.0,2.0904908180236816,33.44197082519531,34.25,17.5,0.0,132.44512939453125,5723.0,402040222
19,2.2776083946228027,6.0,0.7071067690849304,1.4109832048416138,10.395698547363281,17.75,19.0,1.0,131.1039581298828,8223.0,402060222
20,13.216939926147461,7.449832439422607,0.0,0.8995043635368347,21.56627655029297,21.25,21.0,0.0,132.13218688964844,11523.0,402080222
21,5.760859489440918,21.440324783325195,0.4330126941204071,0.5075006484985352,28.14169692993164,17.25,28.25,0.25,130.81533813476562,6463.0,404020222
22,26.36759376525879,6.495190620422363,0.4330126941204071,0.7781584858894348,34.07395935058594,37.5,15.75,0.75,132.19400024414062,8563.0,404040222
23,11.280513763427734,2.8613808155059814,0.4330126941204071,0.895918607711792,15.470826148986816,22.5,17.25,0.75,132.16326904296875,11463.0,404060222
24,10.6858549118042,6.8007354736328125,1.299038052558899,1.8538203239440918,20.639450073242188,28.25,19.5,0.75,130.5230712890625,15163.0,404080222
